n_estimators,eta,min_child_weight,max_depth,colsample_bytree,subsample,alpha,best_it
100,0.01,1,3,0.8,0.8,1,5359
100,0.01,1,3,0.8,0.8,100,4149
100,0.01,1,3,0.8,0.8,3,3912
100,0.01,1,3,0.8,0.8,1,5070
100,0.01,1,3,0.8,0.8,3,6026
100,0.01,1,3,0.8,0.8,100,6211
100,0.01,1,3,0.8,0.8,1,6233
100,0.01,1,3,0.8,0.8,1,5831
100,0.01,1,3,0.8,0.8,0,5394
100,0.01,1,3,0.8,0.8,1,4714
100,0.01,1,3,0.8,0.8,100,5845
100,0.01,1,3,0.8,0.8,1,6865
100,0.01,1,3,0.8,0.8,100,6338
100,0.01,1,3,0.8,0.8,0,4598
100,0.01,1,3,0.8,0.8,100,5470
100,0.01,1,3,0.8,0.8,50,4863
100,0.01,1,3,0.8,0.8,10,6258
100,0.01,1,3,0.8,0.8,25,6124
100,0.01,1,3,0.8,0.8,3,9646
100,0.01,1,3,0.8,0.8,5,9978
100,0.01,1,3,0.8,0.8,100,5963
100,0.01,1,3,0.8,0.8,5,6045
100,0.01,1,3,0.8,0.8,7,9983
100,0.01,1,3,0.8,0.8,100,5976
100,0.01,1,3,0.8,0.8,50,7277
100,0.01,1,3,0.8,0.8,100,5873
100,0.01,1,3,0.8,0.8,100,5518
100,0.01,1,3,0.8,0.8,3,4355
100,0.01,1,3,0.8,0.8,3,10000
100,0.01,1,3,0.8,0.8,3,5794
100,0.01,1,3,0.8,0.8,75,4741
100,0.01,1,3,0.8,0.8,0,7824
100,0.01,1,3,0.8,0.8,0,8410
100,0.01,1,3,0.8,0.8,1,8088
100,0.01,1,3,0.8,0.8,1,8764
100,0.01,1,3,0.8,0.8,1,9852
100,0.01,1,3,0.8,0.8,100,5786
100,0.01,1,3,0.8,0.8,5,5475
100,0.01,1,3,0.8,0.8,25,6375
100,0.01,1,3,0.8,0.8,100,4658
100,0.01,1,3,0.8,0.8,25,6046
100,0.01,1,3,0.8,0.8,3,9996
100,0.01,1,3,0.8,0.8,0,5480
100,0.01,1,3,0.8,0.8,0,4980
100,0.01,1,3,0.8,0.8,100,6697
100,0.01,1,3,0.8,0.8,25,5510
100,0.01,1,3,0.8,0.8,75,5819
100,0.01,1,3,0.8,0.8,100,5972
100,0.01,1,3,0.8,0.8,75,6523
100,0.01,1,3,0.8,0.8,100,5538
100,0.01,1,3,0.8,0.8,100,6144
100,0.01,1,3,0.8,0.8,10,7461
100,0.01,1,3,0.8,0.8,1,4607
100,0.01,1,3,0.8,0.8,100,7279
100,0.01,1,3,0.8,0.8,25,6850
100,0.01,1,3,0.8,0.8,100,7885
100,0.01,1,3,0.8,0.8,50,5610
100,0.01,1,3,0.8,0.8,0,8708
100,0.01,1,3,0.8,0.8,3,5493
100,0.01,1,3,0.8,0.8,50,5130
100,0.01,1,3,0.8,0.8,7,5208
100,0.01,1,3,0.8,0.8,1,4950
100,0.01,1,3,0.8,0.8,1,4743
100,0.01,1,3,0.8,0.8,3,5250
100,0.01,1,3,0.8,0.8,1,4245
100,0.01,1,3,0.8,0.8,3,6409
100,0.01,1,3,0.8,0.8,0,4023
100,0.01,1,3,0.8,0.8,1,4951
100,0.01,1,3,0.8,0.8,100,5509
100,0.01,1,3,0.8,0.8,75,7154
100,0.01,1,3,0.8,0.8,50,6011
100,0.01,1,3,0.8,0.8,100,6856
100,0.01,1,3,0.8,0.8,25,6366
100,0.01,1,3,0.8,0.8,5,8983
100,0.01,1,3,0.8,0.8,100,5292
100,0.01,1,3,0.8,0.8,100,5848
100,0.01,1,3,0.8,0.8,100,6235
100,0.01,1,3,0.8,0.8,100,6093
100,0.01,1,3,0.8,0.8,100,6731
100,0.01,1,3,0.8,0.8,100,6257
100,0.01,1,3,0.8,0.8,10,5761
100,0.01,1,3,0.8,0.8,100,5619
100,0.01,1,3,0.8,0.8,100,6253
100,0.01,1,3,0.8,0.8,100,5596
100,0.01,1,3,0.8,0.8,3,7277
100,0.01,1,3,0.8,0.8,3,6040
100,0.01,1,3,0.8,0.8,3,5058
100,0.01,1,3,0.8,0.8,10,6280
100,0.01,1,3,0.8,0.8,100,5908
100,0.01,1,3,0.8,0.8,100,5892
100,0.01,1,3,0.8,0.8,3,10000
100,0.01,1,3,0.8,0.8,3,6232
100,0.01,1,3,0.8,0.8,0,6342
100,0.01,1,3,0.8,0.8,1,6704
100,0.01,1,3,0.8,0.8,1,3682
100,0.01,1,3,0.8,0.8,1,4741
100,0.01,1,3,0.8,0.8,1,6994
100,0.01,1,3,0.8,0.8,1,4557
100,0.01,1,3,0.8,0.8,1,6280
100,0.01,1,3,0.8,0.8,3,5514
